SensorType, Month, Value, LocationId, Threshold (High/Low)
2024-01-25, CO2, 338.74, 108, Low
2023-12-20, PRESSURE, 955.0, 107, Low
2023-08-31, LIGHT, 58.06, 103, Low
2023-08-08, MOTION, 48.0, 107, High
2023-08-23, VOC, 140.37, 104, Low
2023-09-16, MOTION, 37.0, 104, High
2023-08-02, LIGHT, 954.06, 107, High
2024-01-18, VOC, 144.69, 103, Low
2023-09-14, MOTION, 39.0, 101, High
2024-01-25, CO2, 334.27, 104, Low
2023-08-18, MOTION, 44.0, 102, High
2023-09-09, MOTION, 49.0, 104, High
2024-01-20, LIGHT, 923.15, 102, High
2023-11-29, VOC, 137.03, 104, Low
2024-01-16, LIGHT, 968.34, 104, High
2023-10-19, SOUND, 109.25, 108, High
2023-10-06, PRESSURE, 1040.01, 103, High
2023-10-01, MOTION, 50.0, 110, High
2023-11-03, CO2, 799.26, 106, High
2024-01-31, HUMIDITY, 87.86, 108, High
2023-10-18, SOUND, 119.18, 102, High
2023-12-15, LIGHT, 85.74, 108, Low
2023-09-20, VOC, 145.07, 109, Low
2023-11-24, MOTION, 0.0, 104, Low
2023-09-09, LIGHT, 911.74, 102, High
2023-12-04, MOTION, 42.0, 107, High
2023-10-04, VOC, 131.34, 101, Low
2023-12-05, SOUND, 110.07, 104, High
2023-08-28, CO2, 314.96, 107, Low
2024-01-08, MOTION, 41.0, 104, High
2023-10-06, MOTION, 37.0, 106, High
2023-10-03, CO2, 745.03, 107, High
2023-12-16, TEMPERATURE, 12.92, 101, Low
2023-12-14, SOUND, 112.31, 108, High
2023-10-11, TEMPERATURE, 12.11, 102, Low
2024-01-26, LIGHT, 972.44, 104, High
2023-10-07, VOC, 489.12, 105, High
2023-10-14, VOC, 137.75, 108, Low
2023-10-22, SOUND, 20.25, 106, Low
2023-08-19, MOTION, 43.0, 109, High
2023-09-12, MOTION, 32.0, 104, High
2023-12-23, TEMPERATURE, 38.37, 106, High
2023-08-05, VOC, 473.28, 103, High
2023-10-08, TEMPERATURE, 36.65, 107, High
2023-11-07, TEMPERATURE, 12.84, 103, Low
2024-01-30, MOTION, 45.0, 107, High
2024-01-14, HUMIDITY, 34.1, 104, Low
2023-09-24, CO2, 715.85, 107, High
2024-01-14, CO2, 725.52, 104, High
2023-09-17, LIGHT, 976.64, 103, High
2023-08-08, MOTION, 47.0, 110, High
2023-09-23, PRESSURE, 1048.46, 102, High
2023-08-26, TEMPERATURE, 36.38, 106, High
2023-08-31, PRESSURE, 955.77, 101, Low
2023-11-16, TEMPERATURE, 39.21, 107, High
2023-11-29, SOUND, 106.22, 108, High
2023-11-08, MOTION, 39.0, 109, High
2024-01-14, TEMPERATURE, 38.95, 105, High
2023-08-17, MOTION, 38.0, 106, High
2024-01-26, LIGHT, 920.0, 110, High
2023-08-02, SOUND, 107.83, 101, High
2023-08-01, CO2, 783.34, 110, High
2023-10-17, TEMPERATURE, 38.1, 104, High
2023-11-03, HUMIDITY, 38.05, 102, Low
2023-11-26, CO2, 303.64, 106, Low
2023-09-22, TEMPERATURE, 36.11, 101, High
2023-08-19, VOC, 463.27, 108, High
2024-01-16, PRESSURE, 954.48, 106, Low
2023-11-18, SOUND, 23.5, 105, Low
2024-01-13, TEMPERATURE, 38.38, 108, High
2023-09-23, VOC, 455.6, 103, High
2023-12-10, SOUND, 102.39, 110, High
2023-09-23, SOUND, 25.46, 110, Low
2023-12-21, HUMIDITY, 34.94, 102, Low
2023-11-12, HUMIDITY, 81.38, 104, High
2023-08-18, VOC, 104.25, 106, Low
2023-10-13, VOC, 461.49, 104, High
2023-09-15, TEMPERATURE, 38.42, 110, High
2023-11-10, HUMIDITY, 89.89, 110, High
2023-11-16, VOC, 127.61, 106, Low
2023-11-17, SOUND, 25.17, 101, Low
2024-01-09, PRESSURE, 953.61, 102, Low
2023-10-10, CO2, 739.38, 101, High
2023-12-29, VOC, 460.35, 101, High
2023-12-21, SOUND, 25.41, 101, Low
2023-10-19, SOUND, 107.04, 110, High
2023-10-25, MOTION, 50.0, 103, High
2023-11-28, MOTION, 46.0, 109, High
2023-09-14, TEMPERATURE, 37.43, 109, High
2024-01-25, HUMIDITY, 89.27, 103, High
2024-01-24, SOUND, 106.55, 102, High
2023-12-09, MOTION, 39.0, 105, High
2023-11-29, PRESSURE, 952.23, 106, Low
2023-10-06, TEMPERATURE, 37.61, 104, High
2023-12-07, MOTION, 33.0, 106, High
2024-01-05, HUMIDITY, 89.75, 109, High
2023-11-17, LIGHT, 27.71, 102, Low
2023-12-18, SOUND, 29.9, 109, Low
2023-11-23, CO2, 762.52, 109, High
2023-12-07, MOTION, 46.0, 108, High
2023-12-23, SOUND, 115.64, 106, High
2023-10-04, CO2, 768.5, 105, High
2023-10-17, TEMPERATURE, 12.69, 107, Low
2023-09-02, TEMPERATURE, 10.77, 107, Low
2023-11-03, SOUND, 105.73, 108, High
2023-09-14, VOC, 468.45, 105, High
2023-08-07, CO2, 762.71, 110, High
2023-11-19, CO2, 302.36, 106, Low
2023-12-11, SOUND, 118.36, 102, High
2023-10-31, HUMIDITY, 84.7, 106, High
2024-01-02, PRESSURE, 1049.53, 110, High
2024-01-29, TEMPERATURE, 35.83, 101, High
2023-11-26, MOTION, 42.0, 101, High
2023-08-27, SOUND, 116.24, 108, High
2023-09-13, SOUND, 107.41, 110, High
2024-01-18, CO2, 774.73, 107, High
2023-10-31, HUMIDITY, 85.21, 108, High
2023-11-12, MOTION, 39.0, 107, High
2023-08-16, MOTION, 45.0, 102, High
2023-12-21, HUMIDITY, 88.44, 109, High
2023-08-16, PRESSURE, 1044.28, 104, High
2023-08-09, PRESSURE, 951.78, 106, Low
2024-01-15, HUMIDITY, 80.75, 108, High
2023-08-06, HUMIDITY, 30.32, 103, Low
2023-12-11, MOTION, 1.0, 101, Low
2023-12-08, CO2, 333.65, 108, Low
2023-12-25, CO2, 741.26, 101, High
2023-08-20, LIGHT, 993.94, 104, High
2023-08-19, TEMPERATURE, 12.58, 105, Low
2023-12-02, CO2, 748.6, 109, High
2024-01-01, PRESSURE, 1040.66, 106, High
2023-12-05, CO2, 321.44, 109, Low
2023-08-20, TEMPERATURE, 13.5, 101, Low
2023-09-01, CO2, 712.28, 105, High
2023-11-23, MOTION, 39.0, 109, High
2023-11-05, LIGHT, 912.96, 102, High
2023-12-12, CO2, 774.59, 103, High
2023-11-21, SOUND, 27.9, 104, Low
2023-11-02, CO2, 745.26, 107, High
2023-11-21, PRESSURE, 1047.29, 107, High
2024-01-21, MOTION, 32.0, 103, High
2023-08-27, VOC, 133.46, 105, Low
2023-12-15, HUMIDITY, 80.32, 109, High
2023-12-27, SOUND, 108.89, 101, High
2024-01-24, HUMIDITY, 84.1, 106, High
2023-09-30, MOTION, 49.0, 101, High
2023-11-18, CO2, 758.68, 106, High
2023-11-08, TEMPERATURE, 13.53, 103, Low
2023-08-31, HUMIDITY, 87.86, 108, High
2023-10-11, VOC, 491.13, 101, High
2023-09-04, VOC, 148.49, 110, Low
2024-01-06, CO2, 308.37, 109, Low
2023-09-30, HUMIDITY, 37.41, 110, Low
2023-08-24, SOUND, 24.6, 106, Low
2023-08-06, MOTION, 34.0, 108, High
2023-12-25, MOTION, 46.0, 101, High
2023-09-24, HUMIDITY, 38.31, 109, Low
2023-09-01, VOC, 461.63, 101, High
2023-11-25, CO2, 766.53, 104, High
2023-10-10, MOTION, 3.0, 107, Low
2023-11-23, MOTION, 0.0, 103, Low
2023-09-23, TEMPERATURE, 12.02, 109, Low
2023-08-11, PRESSURE, 950.35, 108, Low
2023-08-21, VOC, 124.16, 104, Low
2023-11-29, MOTION, 31.0, 110, High
2023-08-23, HUMIDITY, 30.19, 102, Low
2024-01-13, SOUND, 104.16, 109, High
2023-09-21, HUMIDITY, 88.84, 107, High
2023-10-12, LIGHT, 943.57, 107, High
2024-01-30, SOUND, 27.18, 110, Low
2023-09-13, TEMPERATURE, 12.59, 108, Low
2023-11-15, SOUND, 20.44, 103, Low
2023-11-06, MOTION, 41.0, 104, High
2023-12-18, MOTION, 3.0, 103, Low
2023-08-19, MOTION, 47.0, 102, High
2024-01-20, MOTION, 2.0, 108, Low
2023-10-06, MOTION, 43.0, 102, High
2024-01-03, MOTION, 49.0, 102, High
2023-11-07, CO2, 719.43, 102, High
2023-08-31, MOTION, 33.0, 110, High
2023-08-29, CO2, 341.54, 103, Low
2023-11-08, LIGHT, 52.89, 108, Low
2023-09-08, HUMIDITY, 31.65, 101, Low
2023-10-30, VOC, 133.13, 108, Low
2023-12-26, LIGHT, 75.69, 101, Low
2023-11-21, HUMIDITY, 87.34, 109, High
2024-01-23, PRESSURE, 1046.94, 105, High
2023-10-28, LIGHT, 25.67, 102, Low
2023-11-27, HUMIDITY, 80.07, 107, High
2023-11-25, TEMPERATURE, 11.56, 106, Low
2023-12-01, PRESSURE, 955.86, 110, Low
2023-08-16, SOUND, 23.91, 105, Low
2024-01-14, HUMIDITY, 32.46, 107, Low
2023-10-24, CO2, 792.52, 104, High
2023-09-29, HUMIDITY, 38.86, 104, Low
2024-01-29, VOC, 111.48, 108, Low
2024-01-05, SOUND, 117.87, 106, High
2023-12-19, TEMPERATURE, 36.17, 106, High
2024-01-07, TEMPERATURE, 39.31, 107, High
2023-12-11, HUMIDITY, 39.7, 104, Low
2024-01-15, PRESSURE, 1045.92, 104, High
2023-12-02, LIGHT, 995.56, 108, High
2024-01-25, MOTION, 45.0, 101, High
2023-08-17, LIGHT, 955.62, 107, High
2023-10-02, HUMIDITY, 39.68, 108, Low
2023-12-18, MOTION, 47.0, 107, High
2024-01-12, CO2, 335.35, 108, Low
2023-11-16, VOC, 453.79, 105, High
2023-08-16, VOC, 463.12, 103, High
2023-11-01, PRESSURE, 1042.81, 108, High
2023-11-30, SOUND, 107.77, 107, High
2023-08-22, MOTION, 42.0, 109, High
2023-08-16, MOTION, 36.0, 107, High
2023-11-22, CO2, 705.09, 101, High
2023-12-05, HUMIDITY, 33.92, 109, Low
2024-01-02, CO2, 733.75, 109, High
2024-01-04, HUMIDITY, 35.09, 107, Low
2023-10-29, MOTION, 48.0, 106, High
2023-12-31, TEMPERATURE, 11.64, 101, Low
2024-01-06, LIGHT, 56.22, 105, Low
2023-08-05, PRESSURE, 950.56, 103, Low
2023-09-12, VOC, 468.77, 105, High
2023-12-21, SOUND, 24.4, 104, Low
2023-09-14, PRESSURE, 959.54, 109, Low
2023-12-31, MOTION, 3.0, 107, Low
2023-10-13, SOUND, 102.08, 103, High
2024-01-12, VOC, 142.81, 101, Low
2023-12-07, MOTION, 2.0, 110, Low
2023-11-09, MOTION, 38.0, 110, High
2023-12-02, HUMIDITY, 39.45, 103, Low
2024-01-12, SOUND, 20.68, 104, Low
2023-08-25, CO2, 348.92, 106, Low
2023-10-02, VOC, 148.06, 103, Low
2023-12-31, SOUND, 25.53, 109, Low
2023-10-02, HUMIDITY, 32.09, 103, Low
2023-10-14, TEMPERATURE, 36.09, 108, High
2023-08-01, HUMIDITY, 84.2, 104, High
2023-08-06, PRESSURE, 1049.62, 105, High
2023-09-18, CO2, 701.93, 106, High
2023-08-07, HUMIDITY, 89.7, 107, High
2024-01-26, CO2, 764.21, 103, High
2023-10-28, LIGHT, 951.19, 102, High
2023-10-02, SOUND, 114.86, 107, High
2023-09-07, MOTION, 33.0, 110, High
2023-08-23, CO2, 313.42, 109, Low
2023-08-19, HUMIDITY, 33.67, 106, Low
2023-09-23, MOTION, 50.0, 105, High
2023-08-13, LIGHT, 80.15, 108, Low
2023-08-02, HUMIDITY, 86.83, 105, High
2023-11-06, PRESSURE, 1046.91, 105, High
2023-09-04, PRESSURE, 1045.55, 107, High
2023-09-11, HUMIDITY, 34.48, 107, Low
2023-08-31, CO2, 332.77, 106, Low
2024-01-06, LIGHT, 30.21, 108, Low
2023-09-11, CO2, 337.01, 108, Low
2023-09-26, HUMIDITY, 33.14, 106, Low
2023-12-01, MOTION, 44.0, 106, High
2024-01-23, CO2, 762.6, 104, High
2023-11-24, LIGHT, 926.41, 101, High
2023-12-31, MOTION, 1.0, 108, Low
2023-11-02, CO2, 340.21, 102, Low
2023-09-04, CO2, 774.43, 107, High
2024-01-20, TEMPERATURE, 13.04, 108, Low
2023-08-14, MOTION, 1.0, 101, Low
2023-09-05, CO2, 790.49, 101, High
2023-10-11, SOUND, 25.88, 102, Low
2023-10-21, MOTION, 50.0, 108, High
2023-12-08, SOUND, 20.61, 104, Low
2023-11-06, TEMPERATURE, 13.37, 107, Low
2023-12-22, HUMIDITY, 37.48, 105, Low
2023-08-26, HUMIDITY, 80.92, 104, High
2023-08-25, TEMPERATURE, 12.69, 104, Low
2023-12-30, TEMPERATURE, 36.44, 107, High
2023-10-31, LIGHT, 57.22, 104, Low
2023-11-15, TEMPERATURE, 14.66, 105, Low
2023-11-07, PRESSURE, 1041.19, 107, High
2023-09-25, LIGHT, 941.34, 105, High
2023-10-15, PRESSURE, 1042.53, 103, High
2023-08-27, CO2, 340.43, 103, Low
2024-01-01, MOTION, 1.0, 108, Low
2023-09-29, MOTION, 3.0, 107, Low
2024-01-20, MOTION, 35.0, 109, High
2023-10-20, SOUND, 22.24, 103, Low
2023-10-22, MOTION, 44.0, 108, High
2024-01-01, MOTION, 37.0, 101, High
2024-01-28, MOTION, 46.0, 101, High
2023-08-24, PRESSURE, 958.5, 110, Low
2023-11-04, SOUND, 112.73, 104, High
2024-01-22, TEMPERATURE, 12.37, 106, Low
2024-01-11, TEMPERATURE, 12.88, 103, Low
2023-10-02, HUMIDITY, 35.82, 103, Low
2023-10-03, TEMPERATURE, 36.74, 101, High
2023-08-12, CO2, 309.87, 109, Low
2023-10-24, PRESSURE, 1044.33, 108, High
2023-09-02, PRESSURE, 1048.56, 103, High
2023-12-23, HUMIDITY, 32.82, 104, Low
2023-08-03, SOUND, 23.46, 105, Low
2023-08-01, PRESSURE, 1043.92, 105, High
2023-08-19, HUMIDITY, 30.87, 107, Low
2023-09-10, PRESSURE, 951.85, 110, Low
2023-11-19, SOUND, 105.65, 105, High
2023-11-20, SOUND, 116.1, 107, High
2023-09-04, PRESSURE, 953.11, 110, Low
2023-12-21, TEMPERATURE, 39.58, 103, High
2023-09-14, CO2, 790.07, 110, High
2023-10-07, CO2, 783.41, 108, High
2023-10-03, HUMIDITY, 39.78, 108, Low
2023-09-08, PRESSURE, 950.4, 102, Low
2023-08-30, MOTION, 43.0, 105, High
2023-08-27, CO2, 773.77, 101, High
2023-10-11, SOUND, 107.79, 109, High
2023-08-16, PRESSURE, 1048.02, 110, High
2023-12-25, LIGHT, 979.94, 105, High
2023-08-10, VOC, 112.02, 105, Low
2023-08-19, MOTION, 41.0, 107, High
2024-01-17, MOTION, 2.0, 106, Low
2023-12-21, CO2, 304.05, 107, Low
2024-01-13, LIGHT, 945.24, 102, High
2023-12-19, SOUND, 112.65, 104, High
2024-01-23, PRESSURE, 953.48, 105, Low
2023-10-15, SOUND, 24.23, 104, Low
2023-09-10, SOUND, 103.17, 110, High
2024-01-07, LIGHT, 944.88, 109, High
2023-10-30, MOTION, 1.0, 102, Low
2023-09-08, VOC, 118.28, 109, Low
2023-11-01, VOC, 109.31, 104, Low
2023-09-23, MOTION, 31.0, 103, High
2023-08-16, VOC, 473.88, 102, High
2023-08-24, PRESSURE, 955.76, 106, Low
2023-08-20, CO2, 798.72, 107, High
2023-12-09, MOTION, 48.0, 102, High
2023-11-19, MOTION, 32.0, 107, High
2023-11-17, MOTION, 39.0, 110, High
2023-11-18, TEMPERATURE, 12.66, 103, Low
2023-08-08, PRESSURE, 959.09, 106, Low
2024-01-10, CO2, 755.83, 107, High
2024-01-19, TEMPERATURE, 37.54, 103, High
2023-11-01, CO2, 324.18, 107, Low
2023-08-29, CO2, 790.54, 104, High
2023-12-13, HUMIDITY, 36.68, 110, Low
2024-01-25, PRESSURE, 1041.03, 106, High
2023-10-27, HUMIDITY, 86.01, 106, High
2024-01-16, TEMPERATURE, 13.35, 109, Low
2023-09-19, PRESSURE, 1049.59, 103, High
2023-09-21, CO2, 330.41, 101, Low
2023-08-30, LIGHT, 55.93, 104, Low
2023-10-08, PRESSURE, 1046.06, 104, High
2023-09-07, CO2, 307.6, 102, Low
2023-11-10, MOTION, 39.0, 102, High
2023-08-05, TEMPERATURE, 10.98, 102, Low
2023-10-24, SOUND, 22.59, 108, Low
2023-12-18, HUMIDITY, 83.33, 101, High
2023-09-26, HUMIDITY, 83.2, 101, High
2024-01-25, MOTION, 32.0, 104, High
2023-09-14, SOUND, 107.73, 107, High
2023-11-15, MOTION, 48.0, 105, High
2023-08-19, SOUND, 110.5, 104, High
2023-08-11, MOTION, 39.0, 110, High
2023-08-04, SOUND, 113.55, 101, High
2023-08-11, HUMIDITY, 81.47, 108, High
2023-12-04, MOTION, 37.0, 101, High
2023-09-28, CO2, 311.05, 110, Low
2023-08-18, SOUND, 111.56, 108, High
2024-01-20, TEMPERATURE, 37.79, 110, High
2023-09-24, HUMIDITY, 31.97, 103, Low
2023-09-04, SOUND, 23.28, 102, Low
2023-09-27, MOTION, 42.0, 108, High
2023-11-01, PRESSURE, 954.47, 107, Low
2023-09-09, LIGHT, 909.07, 109, High
2023-09-24, PRESSURE, 1047.05, 109, High
2023-10-25, TEMPERATURE, 13.37, 104, Low
2023-10-01, LIGHT, 57.94, 104, Low
2023-11-16, HUMIDITY, 31.75, 102, Low
2024-01-24, HUMIDITY, 83.17, 104, High
2023-11-14, LIGHT, 85.8, 105, Low
2023-10-09, SOUND, 118.83, 103, High
2023-09-18, HUMIDITY, 86.39, 102, High
2023-12-20, CO2, 783.57, 105, High
2023-10-14, MOTION, 39.0, 101, High
2023-08-16, VOC, 470.38, 110, High
2023-09-12, CO2, 705.58, 108, High
2023-08-06, SOUND, 117.86, 102, High
2023-10-09, CO2, 303.63, 101, Low
2023-09-19, PRESSURE, 1048.08, 102, High
2023-09-08, MOTION, 3.0, 107, Low
2024-01-10, TEMPERATURE, 14.62, 105, Low
2024-01-06, SOUND, 117.78, 106, High
2023-12-11, MOTION, 2.0, 102, Low
2023-09-19, VOC, 462.66, 104, High
2023-08-17, HUMIDITY, 84.86, 109, High
2024-01-18, MOTION, 35.0, 108, High
2024-01-03, VOC, 493.36, 106, High
2023-10-27, CO2, 722.49, 108, High
2023-08-22, VOC, 492.62, 110, High
2023-12-23, HUMIDITY, 39.33, 106, Low
2024-01-15, HUMIDITY, 83.92, 102, High
2023-12-12, TEMPERATURE, 36.73, 107, High
2023-10-06, MOTION, 45.0, 107, High
2024-01-30, TEMPERATURE, 37.59, 102, High
2023-08-13, PRESSURE, 950.46, 104, Low
2024-01-10, TEMPERATURE, 39.94, 101, High
2023-10-21, CO2, 339.81, 109, Low
2023-08-22, MOTION, 2.0, 109, Low
2023-08-24, MOTION, 0.0, 107, Low
2023-08-23, TEMPERATURE, 14.19, 105, Low
2024-01-28, SOUND, 103.26, 108, High
2023-12-26, TEMPERATURE, 10.43, 104, Low
2024-01-20, LIGHT, 974.06, 105, High
2023-08-11, MOTION, 1.0, 106, Low
2023-10-16, PRESSURE, 957.94, 106, Low
2023-12-25, CO2, 764.28, 106, High
2023-12-13, MOTION, 0.0, 107, Low
2024-01-10, LIGHT, 64.83, 106, Low
2023-10-28, SOUND, 116.72, 105, High
2023-08-23, VOC, 140.52, 107, Low
2023-11-04, HUMIDITY, 88.74, 110, High
2023-11-21, CO2, 776.27, 105, High
2024-01-10, CO2, 732.19, 108, High
2024-01-28, CO2, 314.17, 109, Low
2023-08-19, TEMPERATURE, 36.79, 101, High
2023-08-14, MOTION, 3.0, 110, Low
2023-09-14, HUMIDITY, 34.59, 107, Low
2023-10-19, LIGHT, 8.84, 107, Low
2024-01-17, SOUND, 108.98, 102, High
2023-09-07, HUMIDITY, 85.45, 110, High
2023-09-27, LIGHT, 71.75, 108, Low
2023-12-15, MOTION, 32.0, 106, High
2024-01-27, TEMPERATURE, 37.73, 101, High
2023-12-16, MOTION, 41.0, 101, High
2023-12-24, TEMPERATURE, 37.94, 105, High
2023-08-05, MOTION, 44.0, 105, High
2023-12-18, MOTION, 39.0, 110, High
2023-12-09, TEMPERATURE, 11.92, 110, Low
2023-08-16, TEMPERATURE, 35.49, 106, High
2023-10-29, LIGHT, 75.24, 102, Low
2023-09-16, MOTION, 31.0, 110, High
2023-12-31, HUMIDITY, 85.8, 104, High
2023-10-04, MOTION, 47.0, 109, High
2024-01-26, HUMIDITY, 85.7, 101, High
2023-09-01, HUMIDITY, 38.19, 108, Low
2023-10-17, CO2, 700.09, 108, High
2023-12-06, MOTION, 43.0, 106, High
2023-10-10, MOTION, 41.0, 106, High
2024-01-18, HUMIDITY, 86.28, 106, High
2023-10-04, PRESSURE, 1043.42, 105, High
2023-11-23, LIGHT, 953.16, 101, High
2024-01-03, PRESSURE, 951.11, 103, Low
2024-01-29, TEMPERATURE, 36.97, 109, High
2023-10-10, HUMIDITY, 83.84, 105, High
2023-08-03, VOC, 118.12, 102, Low
2023-08-08, TEMPERATURE, 12.72, 101, Low
2023-10-18, HUMIDITY, 80.62, 104, High
2023-09-22, HUMIDITY, 34.01, 103, Low
2023-10-22, MOTION, 34.0, 108, High
2023-12-02, MOTION, 35.0, 109, High
2024-01-25, SOUND, 107.48, 101, High
2023-10-31, CO2, 722.14, 110, High
2023-11-20, MOTION, 38.0, 103, High
2023-09-29, SOUND, 107.84, 105, High
2023-09-19, HUMIDITY, 89.42, 105, High
2023-11-20, VOC, 458.55, 109, High
2023-08-24, MOTION, 50.0, 102, High
2023-10-03, TEMPERATURE, 11.35, 110, Low
2024-01-30, SOUND, 25.0, 102, Low
2023-10-26, VOC, 118.65, 108, Low
2023-09-18, TEMPERATURE, 12.38, 110, Low
2023-10-30, TEMPERATURE, 14.2, 110, Low
2024-01-13, LIGHT, 939.51, 110, High
2023-09-17, PRESSURE, 952.29, 110, Low
2023-12-19, MOTION, 50.0, 105, High
2023-09-28, HUMIDITY, 85.68, 101, High
2023-12-22, CO2, 347.97, 110, Low
2023-09-14, HUMIDITY, 38.19, 105, Low
2023-12-22, CO2, 793.82, 109, High
2023-12-18, LIGHT, 969.13, 102, High
2023-11-02, MOTION, 41.0, 101, High
2023-11-26, LIGHT, 40.86, 101, Low
2023-10-07, HUMIDITY, 81.63, 106, High
2024-01-15, PRESSURE, 1048.72, 103, High
2023-09-21, MOTION, 44.0, 104, High
2023-11-24, CO2, 764.44, 106, High
2023-09-30, HUMIDITY, 84.83, 102, High
2023-08-31, HUMIDITY, 38.11, 103, Low
2023-11-14, HUMIDITY, 83.33, 106, High
2023-09-19, VOC, 482.63, 110, High
